"","name","genus","vore","order","conservation","sleep_total","sleep_rem","sleep_cycle","awake","brainwt","bodywt"
"1","Cheetah","Acinonyx","carni","Carnivora","lc",12.1,NA,NA,11.9,NA,50
"2","Owl monkey","Aotus","omni","Primates",NA,17,1.8,NA,7,0.0155,0.48
"3","Mountain beaver","Aplodontia","herbi","Rodentia","nt",14.4,2.4,NA,9.6,NA,1.35
"4","Greater short-tailed shrew","Blarina","omni","Soricomorpha","lc",14.9,2.3,0.133333333,9.1,0.00029,0.019
"5","Cow","Bos","herbi","Artiodactyla","domesticated",4,0.7,0.666666667,20,0.423,600
"6","Three-toed sloth","Bradypus","herbi","Pilosa",NA,14.4,2.2,0.766666667,9.6,NA,3.85
"7","Northern fur seal","Callorhinus","carni","Carnivora","vu",8.7,1.4,0.383333333,15.3,NA,20.49
"8","Vesper mouse","Calomys",NA,"Rodentia",NA,7,NA,NA,17,NA,0.045
"9","Dog","Canis","carni","Carnivora","domesticated",10.1,2.9,0.333333333,13.9,0.07,14
"10","Roe deer","Capreolus","herbi","Artiodactyla","lc",3,NA,NA,21,0.0982,14.8
"11","Goat","Capri","herbi","Artiodactyla","lc",5.3,0.6,NA,18.7,0.115,33.5
"12","Guinea pig","Cavis","herbi","Rodentia","domesticated",9.4,0.8,0.216666667,14.6,0.0055,0.728
"13","Grivet","Cercopithecus","omni","Primates","lc",10,0.7,NA,14,NA,4.75
"14","Chinchilla","Chinchilla","herbi","Rodentia","domesticated",12.5,1.5,0.116666667,11.5,0.0064,0.42
"15","Star-nosed mole","Condylura","omni","Soricomorpha","lc",10.3,2.2,NA,13.7,0.001,0.06
"16","African giant pouched rat","Cricetomys","omni","Rodentia",NA,8.3,2,NA,15.7,0.0066,1
"17","Lesser short-tailed shrew","Cryptotis","omni","Soricomorpha","lc",9.1,1.4,0.15,14.9,0.00014,0.005
"18","Long-nosed armadillo","Dasypus","carni","Cingulata","lc",17.4,3.1,0.383333333,6.6,0.0108,3.5
"19","Tree hyrax","Dendrohyrax","herbi","Hyracoidea","lc",5.3,0.5,NA,18.7,0.0123,2.95
"20","North American Opossum","Didelphis","omni","Didelphimorphia","lc",18,4.9,0.333333333,6,0.0063,1.7
"21","Asian elephant","Elephas","herbi","Proboscidea","en",3.9,NA,NA,20.1,4.603,2547
"22","Big brown bat","Eptesicus","insecti","Chiroptera","lc",19.7,3.9,0.116666667,4.3,3e-04,0.023
"23","Horse","Equus","herbi","Perissodactyla","domesticated",2.9,0.6,1,21.1,0.655,521
"24","Donkey","Equus","herbi","Perissodactyla","domesticated",3.1,0.4,NA,20.9,0.419,187
"25","European hedgehog","Erinaceus","omni","Erinaceomorpha","lc",10.1,3.5,0.283333333,13.9,0.0035,0.77
